Longitude,Latitude,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,STATE_NAME,PHONE,DISTRICT,FAC_CLASS,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
-122.3215305,47.64297722,1,650070,419120,65,WSP District 2 Seattle North Detachment,WSP District 2 Seattle N Detatch,811 E Roanoke,98102,Seattle,WA,(206) 720-3040,SE,0,X,"placed manually (bldg. believed to be next to this parcel, but not within an actual parcel)/QC",http://www.wsp.wa.gov/traveler/d2detach.htm,5535100285,553510,285
-122.3553481,47.51702598,2,650016,500461,65,White Center Storefront,White Center,1327 SW 102nd St,98146,Unincorporated King County,WA,(206) 477-1237,SE,6,X,unsure of location/QC- address matches parcel info,http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,7973202900,797320,2900
-122.3041355,47.53737855,3,650084,764142,65,KC Airport Law Enforcement,KC Airport Law Enforcement,7277 Perimeter Rd S,98108,Seattle,WA,(206) 296-7392,KC,0,Y,added 9/04,http://www.kingcounty.gov/depts/sheriff/police-partnerships/partners-list/kcia.aspx,2824049007,282404,9007
-122.1519583,47.44443481,4,650008,611396,65,Fairwood Storefront,Fairwood,17620 140th Ave SE,98058,Unincorporated King County,WA,(206) 477-1243,RN,6,X,QC- address from 17240 140th Ave,http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct3.aspx,7560800010,756080,10
-122.0441405,47.39509227,5,650001,620199,65,KC Precinct 3 Headquarters,KC Precinct 3 HQ,22300 SE 231st St,98038,Maple Valley,WA,(206) 477-6446,MV,1,E,"moved slightly to current location/QC, added new location",http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct3.aspx,1622069143,162206,9143
-122.3435671,47.76350026,6,650003,16141,65,Shoreline Police Department,Shoreline PD,1206 N 185th St,98133,Shoreline,WA,(206) 801-2710,KC,1,E,moved manually/QC,http://www.cityofshoreline.com/government/departments/police-department,1643500085,164350,85
-122.322802,47.5895736,7,650023,766111,65,Metro Transit Police Unit,Metro Transit Police Unit,1301 Airport Way S,98104,Seattle,WA,(206) 477-0900,SE,2,N,"in correct location/QC, new phone number, website",http://kingcounty.gov/depts/transportation/metro/about/safety-security/transit-police.aspx,5247800795,524780,795
-121.3599777,47.71022038,8,650024,72724,65,Skykomish Substation,Skykomish,119 4th St N,98288,Skykomish,WA,(360) 677-2308,SK,4,N,QC- unconfirmed parcel,http://www.kingcounty.gov/depts/sheriff/police-partnerships/partners-list/skykomish.aspx,7807800670,780780,670
-122.168861,47.53853231,9,650025,988637,65,Newcastle Police Department,Newcastle PD,12835 Newcastle Way,98056,Newcastle,WA,(425) 649-4444,NE,3,X,tentatively placed manually/unsure location/QC- unconfirmed parcel,http://www.ci.newcastle.wa.us/police/police.htm,2824059144,282405,9144
-122.1343241,47.58471363,10,650038,96617,65,WSP District 2 Headquarters and Communications,WSP District 2 HQ,2803 156th Ave SE,98007,Bellevue,WA,(425) 401-7788,BE,0,Y,placed manually/QC- moved one parcel north,http://www.wsp.wa.gov/traveler/d2detach.htm,1124059072,112405,9072
-122.2493805,47.76051602,11,650049,149398,65,Kenmore Police Department,Kenmore PD,18120 68th Ave NE,98028,Kenmore,WA,(206) 296-5020,KM,0,Y,placed manually/QC,http://www.cityofkenmore.com/police,114100955,11410,955
-122.2727537,47.4337568,12,650081,398703,65,SeaTac Police Department,SeaTac PD,4800 S 188th St,98188,SeaTac,WA,(206) 973-4900,ST,0,Y,"QC- NEW, added 11/03",http://www.ci.seatac.wa.us/index.aspx?page=174,3423049197,342304,9197
-122.2896882,47.46262144,13,650071,734397,65,WSP District 2 Seattle South Detachment,WSP District 2 Seattle S Detach,15666 International Blvd,98188,Tukwila,WA,(206) 439-3830,SE,0,Y,placed manually/QC- changed address from Tukwila International Blvd,http://www.wsp.wa.gov/traveler/d2detach.htm,2223049029,222304,9029
-121.8757013,47.52708967,14,650072,194417,65,Snoqualmie Police Department,Snoqualmie PD,34825 SE Douglas St,98065,Snoqualmie,WA,(425) 888-3333,SN,0,Y,placed manually/QC- changed zip from 98288,http://www.ci.snoqualmie.wa.us/Departments/Police.aspx,7851800010,785180,10
-122.0368039,47.60132348,15,650006,375887,65,Sammamish Police Department,Sammamish PD,801 228th Ave NE,98075,Sammamish,WA,(425) 295-0770,SM,5,E,"moved to current location/updated address/QC- unconfirmed parcel, changed address",https://www.sammamish.us/government/departments/police/,424069255,42406,9255
-122.1180698,47.35922472,16,650020,672195,65,Covington Police Department,Covington PD,16720 SE 271st St,98042,Covington,WA,(253) 638-1110,CO,3,E,QC- moved to City Hall from 17210 SE 272nd,http://www.covingtonwa.gov/city_departments/police.php,1796330040,179633,40
-122.2391237,47.61536028,17,650039,118339,65,Medina Police Department,Medina PD,501 Evergreen Point Rd,98039,Medina,WA,(425) 233-6420,ME,0,Y,placed manually/QC,http://www.medina-wa.gov/police,5427300050,542730,50
-122.0025837,47.30911746,18,650040,637870,65,Black Diamond Police Department,Black Diamond PD,25510 Lawson St,98010,Black Diamond,WA,(253) 631-1012,BD,0,Y,placed manually/QC- moved one parcel east,http://www.ci.blackdiamond.wa.us/Depts/Police/police_home.html,844000975,84400,975
-122.2294419,47.36864845,19,650052,662134,65,Corrections Facility (Jail),Corrections,1230 Central Ave S,98030,Kent,WA,(253) 856-5960,KE,0,Y,"placed manually/QC, new website",http://kentwa.gov/jail/,3462800205,346280,205
-122.3172777,47.61491969,20,650066,453753,65,Seattle Police East Precinct,SPD East Precinct,1519 12th Ave,98122,Seattle,WA,(206) 684-4300,SE,0,Y,placed manually/QC,http://www.seattle.gov/police/about-us/police-locations/east-precinct,6003500315,600350,315
-122.4623406,47.44709249,21,650022,408450,65,Vashon Substation,Vashon,10011 SW Bank Rd,98070,Unincorporated King County,WA,(206) 477-6655,KC,4,X,moved to current location,http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,2846200092,284620,92
-122.2484147,47.27798961,22,650028,802571,65,Algona Police Department,Algona,402 Warde St,98001,Algona,WA,(253) 833-2743,AL,0,X,"NEW station/QC- moved east, same bldg as city hall (per call), new website",http://www.algonawa.gov/police/,9543000225,954300,225
-122.3454105,47.44569694,23,650057,611401,65,Normandy Park Police Department,Normandy Park PD,801 SW 174th St,98166,Normandy Park,WA,(206) 248-7600,NP,0,Y,placed manually/QC,http://www.ci.normandy-park.wa.us/police,7766200020,776620,20
-122.1318639,47.62162353,24,650031,767827,65,Crossroads Police Substation,Crossroads,15600 NE 8th St,98007,Bellevue,WA,(425) 452-2891,BE,0,E,NEW station/QC- changed loc after calling station,http://www.bellevuewa.gov/police.htm,2625059206,262505,9206
-122.2394191,47.49027571,25,650027,784747,65,West Hill Storefront,West Hill,12629 Renton Ave S,98178,Unincorporated King County,WA,(206) 477-1239,RN,6,X,NEW station; unsure of location/QC-unconfirmed,http://www.kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,232000080,23200,80
-122.2301863,47.30846924,26,650029,707661,65,Auburn Police Department,Auburn PD,340 E Main St,98002,Auburn,WA,(253) 931-3080,AU,0,Y,"placed manually/QC, new website",http://www.auburnwa.gov/services/police.htm,7331400460,733140,460
-122.1922986,47.61446854,27,650030,112265,65,Bellevue Police Department,Bellevue PD,450 110th Ave NE,98004,Bellevue,WA,(425) 452-6917,BE,0,Y,placed manually/QC,http://www.bellevuewa.gov/police.htm,3225059199,322505,9199
-122.1725216,47.57421684,28,650032,0,65,Factoria Police Substation,Factoria Police Substation,3915 Factoria Mall Blvd SE,98006,Bellevue,WA,(425) 452-2880,BE,0,Y,NEW station; unsure of parcel/QC- moved inside Factoria Mall,http://www.bellevuewa.gov/police.htm,2442700060,244270,60
-122.1298045,47.6800012,29,650061,536612,65,Redmond Police Department,Redmond PD,8701 160th Ave NE,98052,Redmond,WA,(425) 556-2500,RM,0,Y,placed manually/QC,http://www.redmond.gov/PublicSafety/Police,7202030020,720203,20
-122.2048808,47.47459795,30,650062,588381,65,Renton Police Department,Renton PD,1055 S Grady Way,98057,Renton,WA,(425) 430-7500,RN,0,Y,placed manually/QC,http://rentonwa.gov/government/default.aspx?id=1688&mid=12,1723059023,172305,9023
-122.3347811,47.70293671,31,650064,263516,65,Seattle Police North Precinct,SPD North Precinct,10049 College Way N,98133,Seattle,WA,(206) 684-0850,SE,0,Y,placed manually/QC- changed zip from 98108,http://www.seattle.gov/police/about-us/police-locations/north-precinct,5464300080,546430,80
-122.3618988,47.53590416,32,650065,478814,65,Seattle Police Southwest Precinct,SPD SW Precinct,2300 SW Webster St,98106,Seattle,WA,(206) 733-9800,SE,0,Y,placed manually/QC,http://www.seattle.gov/police/about-us/police-locations/southwest-precinct,7985400296,798540,296
